STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF4,FZF4_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,FZF9,FZF9_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES
USC00045983,1958,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",208,,208,0,102,0,73,0,16,0,28,,22,0,0,0,109,0,1,0,146,0,20,0,,,,,,,-10,"0,1117,+",635," ,0,0402, ",632," ,0,0401, ",99.8," ,0,0224, ",35,"0,0727, ",-2.2,"0,0924",-2.2,"0,0924",-5,"0,1115",-10,"0,1116",-10,"0,1116",-1.1,"0,0513",-5,"0,0424",-5,"0,0424",-7.2,"0,0316",,,3350.3,3,3350.3,0,1323.9," ,0",3632," ,0",10.71,0,17.53,0,3.88,0,,,,
USC00045983,1959,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",220.9,,220.9,0,57,0,41,0,10,0,26,,17,0,0,0,124,0,3,0,140,0,33,0,,,,,,,-12.2,"0,0212, ",838," ,0,0215, ",716," ,0,0105, ",69.9," ,0,0105, ",37.2,"0,0807, ",-0.6,"0,0915",-3.3,"0,1104",-5.6,"0,1105",-7.8,"0,1205",,,0,"0,0527",-2.2,"0,0504",-4.4,"0,0329",-12.2,"0,0212",-12.2,"0,0212",2873.6,6,2873.6,0,831.8," ,0",3227," ,0",10.59,0,18.02,0,3.16,0,,,,
USC00045983,1960,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",260.4,,260.4,0,95,0,62,0,12,0,33,,29,0,0,0,126,0,5,0,153,0,32,0,,,,,,,-12.8,"0,0113, ",279," ,0,0423, ",244," ,0,0303, ",105.2," ,0,1201, ",37.2,"0,0807, ",0,"0,1013",-2.2,"0,1109",-4.4,"0,1121",-8.9,"0,1206",-8.9,"0,1206",0,"0,0524",-3.3,"0,0522",-4.4,"0,0422",-7.2,"0,0310",-9.4,"0,0229",3165.1,1,3165.1,0,1065.4," ,0",3226," ,0",10.32,0,17.33,0,3.32,0,,,,
USC00045983,1961,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",223.3,,223.3,0,89,0,59,0,11,0,26,,24,0,0,0,138,0,1,0,131,0,30,0,,,,,,,-13.3,"0,1211, ",660," ,0,1125, ",559," ,0,1124, ",73.7," ,0,1124, ",36.7,"0,0712, ",0,"0,0924",-2.2,"0,1020",-5.6,"0,1022",-6.7,"0,1116",-9.4,"0,1117",0,"0,0524",-2.2,"0,0426",-5,"0,0422",-6.7,"0,0320",,,3076.7,7,3076.7,0,846.9," ,0",2668," ,0",10.13,0,17.09,0,3.17,0,,,,
USC00045983,1962,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",134.6,,134.6,0,80,0,53,0,14,0,35,,21,0,2,0,122,0,6,0,139,0,24,0,,,,,,,-18.9,"0,0121, ",229," ,0,0307,+",389," ,0,0305, ",90.2," ,0,1012, ",35.6,"0,0727, ",-0.6,"0,1007",-2.2,"0,1110",-8.3,"0,1129",-8.3,"0,1129",-9.4,"0,1224",-1.7,"0,0604",-2.8,"0,0430",-5.6,"0,0323",-8.3,"0,0313",-16.1,"0,0227",3340.7,7,3340.7,0,1045.8," ,0",2194," ,0",10.01,0,17.17,0,2.84,0,,,,
USC00045983,1963,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",108.8,,108.8,0,98,0,67,0,9,0,20,,19,0,0,0,130,0,3,0,123,0,10,0,,,,,,,-15,"0,0112, ",254," ,0,0316, ",315," ,0,0316, ",61.2," ,0,0327, ",33.9,"0,0807,+",0,"0,1023",-2.8,"0,1027",-5,"0,1116",-7.8,"0,1211",,,-0.6,"0,0629",-2.8,"0,0423",-8.3,"0,0420",-8.3,"0,0420",-8.9,"0,0416",3124.4,4,3124.4,0,956.3," ,0",2115," ,0",9.76,0,16.4,0,3.12,0,,,,
USC00045983,1964,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",104.6,,104.6,0,93,0,54,0,5,0,46,,27,0,0,0,149,0,4,0,139,0,17,0,,,,,,,-12.8,"0,1231, ",432," ,0,1219, ",381," ,0,0121, ",101.9," ,0,1222, ",36.1,"0,0711, ",-0.6,"0,0902",-2.2,"0,1110",-5,"0,1113",-6.7,"0,1114",-8.9,"0,1115",0,"0,0515",-2.8,"0,0506",-4.4,"0,0502",-6.7,"0,0424",-10,"0,0122",3408.4,4,3408.4,0,825.2," ,0",3181," ,0",9.15,0,16.23,0,2.07,0,,,,
USC00045983,1965,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",89,,89,0,99,0,56,0,13,0,32,,19,0,0,0,132,0,3,0,146,0,12,0,,,4, ,,,-12.8,"0,0101, ",660," ,0,1230, ",465," ,0,1228, ",71.1," ,0,0415, ",33.9,"0,0806,+",-3.9,"0,0917",-3.9,"0,0917",-7.8,"0,1127",-7.8,"0,1127",-10,"0,1215",-0.6,"0,0520",-2.8,"0,0506",-4.4,"0,0320",-6.7,"0,0211",-11.7,"0,0108",3220,0,3220,0,978.3," ,0",2690," ,0",9.86,0,17.03,0,2.68,0,,,,
USC00045983,1966,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",174,,174,0,83,0,54,0,10,0,69,,21,0,0,0,124,0,4,0,164,0,25,0,,,,,,,-14.4,"0,0101, ",1295," ,0,0105, ",785," ,0,0104, ",83.3," ,0,0104, ",36.1,"0,0815,+",0,"0,0912",-5,"0,1014",-5,"0,1014",-6.7,"0,1124",,,-1.1,"0,0604",-3.9,"0,0420",-6.1,"0,0419",-8.9,"0,0317",-8.9,"0,0317",3124.3,3,3124.3,0,900.2," ,0",2950," ,0",10.21,0,17.35,0,3.08,0,,,,
USC00045983,1967,41.32191,-122.31777,1101.2,"MOUNT SHASTA, CA US",256.8,,256.8,0,92,0,59,0,10,0,75,,35,0,0,0,144,0,7,0,139,0,40,0,,,,,,,-13.9,"0,1219, ",940," ,0,0126, ",572," ,0,0417, ",56.6," ,0,0417, ",36.7,"0,0818, ",0,"0,1006",-2.2,"0,1121",-7.2,"0,1201",-7.2,"0,1201",-9.4,"0,1208",-0.6,"0,0512",-2.8,"0,0501",-4.4,"0,0430",-6.7,"0,0311",-10.6,"0,0123",3356.7,7,3356.7,0,946.5," ,0",5560," ,0",9.89,0,16.99,0,2.79,0,,,,
