STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF4,FZF4_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES
USC00049621,1972,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",866.8,,866.8,0,97,0,67,0,13,0,17,,4,0,0,0,35,0,3,0,178,0,80,0,,,,,-8.9,"0,1209,+",178," ,0,0127, ",178," ,0,0127, ",82.6," ,0,1114, ",44.4,"0,0808,+",,,0,"0,1203",-4.4,"0,1205",-4.4,"0,1205",-8.9,"0,1208",-8.9,"0,1208",0,"0,0326",-2.8,"0,0201",,,,,1940.2,2,1940.2,0,,,,,1187.1," ,0",521," ,0",15.44,0,21.7,0,9.17,0,14144,0
USC00049621,1973,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970.2,2,1970.2,0,,,,,,,,,,,,,,,,
USC00049621,1974,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",927.2,,927.2,0,78,0,56,0,20,0,3,,1,0,0,0,25,0,0,0,186,0,96,0,,,,,-3.9,"0,0105,+",76," ,0,0103, ",64," ,0,0103, ",151.4," ,0,0709, ",41.7,"0,0805, ",,,-1.1,"0,1222",,,,,,,,,-0.6,"0,0311",-2.2,"0,0110",,,,,,,,,,,,,1781.5," ,0",77," ,0",15.66,0,22.27,0,9.04,0,12649,0
USC00049621,1975,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",850.9,,850.9,0,79,0,61,0,19,0,1,,3,0,0,0,28,0,0,0,184,0,87,0,,,,,-4.4,"0,0129, ",51," ,0,0131, ",305," ,0,0201, ",121.7," ,0,0319, ",42.8,"0,0726, ",,,0,"0,1118",-2.8,"0,1129",,,,,,,0,"0,0421",-2.8,"0,0221",-4.4,"0,0129",,,1919.9,9,1919.9,0,,,,,1566.5," ,0",394," ,0",15.26,0,22,0,8.53,0,12086,0
USC00049621,1976,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",709,,709,0,56,0,32,0,10,0,4,,,,0,0,21,0,0,0,219,0,68,0,,,,,-2.2,"0,1228,+",330," ,0,0303, ",,,118.1," ,0,0226, ",41.7,"0,0726, ",,,-0.6,"0,1127",-2.2,"0,1228",,,,,,,0,"0,0325",-2.2,"0,0205",,,,,1736,0,1736,0,,,,,710.7," ,0",,,16.07,0,23.26,0,8.87,0,11041,0
USC00049621,1977,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",831.8,,831.8,0,80,0,55,0,14,0,,,1,0,0,0,22,0,0,0,188,0,84,0,,,,,-2.8,"0,1121, ",,,457," ,0,1121, ",72.9," ,0,0920, ",43.9,"0,0803, ",,,-1.1,"0,1119",-2.8,"0,1121",,,,,,,0,"0,0328",-2.2,"0,0108",,,,,1495.3,3,1495.3,0,9.65,0,21.99,0,1070.9," ,0",457," ,0",15.98,0,22.94,0,9.02,0,8990,0
USC00049621,1978,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",774.5,,774.5,0,86,0,59,0,26,0,0,,0,0,0,0,22,0,0,0,197,0,66,0,,,,,-4.4,"0,1207, ",0," ,0,1231,+",0," ,0,1231,+",115.3," ,0,0116, ",45.6,"0,0809,+",,,0,"0,1111",-2.2,"0,1115",-4.4,"0,1207",,,,,0,"0,0213",,,,,,,1629.5,5,1629.5,0,,,,,1967.5," ,0",0," ,0",15.8,0,22.35,0,9.25,0,10559,0
USC00049621,1980,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",737.4,,737.4,0,88,0,55,0,15,0,0,,0,0,0,0,13,0,0,0,193,0,77,0,,,,,-2.2,"0,0128, ",0," ,0,1231,+",0," ,0,1231,+",228.1," ,0,1203, ",42.2,"0,0728, ",,,0,"0,1205",,,,,,,,,-1.1,"0,0131",-2.2,"0,0128",,,,,1702.3,3,1702.3,0,,,,,1463.7," ,0",0," ,0",16.01,0,22.88,0,9.15,0,,
USC00049621,1981,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",926,,926,0,96,0,75,0,24,0,0,,0,0,0,0,3,0,0,0,195,0,94,0,,,,,0,"0,1128,+",0," ,0,1231,+",0," ,0,1231,+",145," ,0,1116, ",46.1,"0,0808, ",1430.4,0,0,"0,1127",,,,,,,,,0,"0,0131",,,,,,,1469.9,9,1469.9,0,10.04,0,,,2202.5," ,0",0," ,0",16.45,0,23.12,0,9.8,0,13409,0
USC00049621,1982,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",683.7,,683.7,0,108,0,79,0,27,0,,,5,0,0,0,44,0,0,0,181,0,61,0,,,,,-4.4,"0,0107,+",,,909," ,0,0128, ",97.8," ,0,1217, ",41.7,"0,0823, ",,,0,"0,1116",,,,,,,,,-0.6,"0,0407",-2.2,"0,0123",-4.4,"0,0107",,,1899.3,3,1899.3,0,,,,,1955.4," ,0",1513," ,0",14.64,0,21.16,0,8.13,0,12819,0
USC00049621,1983,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",638.5,,638.5,0,141,0,112,0,52,0,0,,1,0,0,0,9,0,0,0,174,0,58,0,,,,,-2.2,"0,1221, ",0," ,0,1231,+",91," ,0,1223, ",132.6," ,0,0301, ",41.1,"0,0807, ",,,-0.6,"0,1220",-2.2,"0,1221",,,,,,,0,"0,0226",,,,,,,1976.6,6,1976.6,0,,,,,3367.4," ,0",91," ,0",14.86,0,20.88,0,8.84,0,,
USC00049621,1984,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",882.5,,882.5,0,93,0,56,0,19,0,,,0,0,0,0,19,0,0,0,187,0,90,0,,,,,-2.2,"0,1225,+",,,0," ,0,1231,+",86.4," ,0,1112, ",42.8,"0,0715, ",,,0,"0,1126",-2.2,"0,1225",,,,,,,0,"0,0225",-2.2,"0,0114",,,,,1640.7,7,1640.7,0,8.42,0,19.96,0,1175.8," ,0",0," ,0",15.8,0,22.58,0,9.02,0,12930,0
USC00049621,1985,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",775.8,,775.8,0,58,0,40,0,11,0,0,,0,0,0,0,48,0,0,0,210,0,79,0,,,,,-3.9,"0,1113, ",0," ,0,1231,+",0," ,0,1231,+",85.6," ,0,1202, ",41.7,"0,0725, ",,,-0.6,"0,1111",-3.9,"0,1113",,,,,,,0,"0,0328",-2.2,"0,0205",,,,,1845.7,7,1845.7,0,,,,,814.1," ,0",0," ,0",15.77,0,23.11,0,8.43,0,11901,0
USC00049621,1986,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",852.7,,852.7,0,87,0,70,0,22,0,0,,0,0,0,0,7,0,0,0,203,0,89,0,,,,,-1.7,"0,0210, ",0," ,0,1231,+",0," ,0,1231,+",118.1," ,0,0218, ",41.7,"0,0721, ",,,-0.6,"0,1212",,,,,,,,,-0.6,"0,0211",,,,,,,1564.1,1,1564.1,0,10.1,0,21.14,0,1686.8," ,0",0," ,0",16.42,0,23.35,0,9.5,0,,
USC00049621,1987,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",963,,963,0,86,0,62,0,22,0,,,0,0,0,0,41,0,0,0,210,0,104,0,,,,,-6.1,"0,0116, ",,,0," ,0,1231,+",93.5," ,0,0213, ",44.4,"0,0715, ",,,0,"0,1127",-3.3,"0,1213",,,,,,,-0.6,"0,0329",-5.6,"0,0118",-5.6,"0,0118",,,1631.7,7,1631.7,0,,,,,1486.9," ,0",0," ,0",16.48,0,23.94,0,9.03,0,,
USC00049621,1989,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",731.1,,731.1,0,78,0,48,0,14,0,0,,0,0,0,0,45,0,0,0,195,0,89,0,1, ,,,-7.8,"0,0206, ",0," ,0,1231,+",0," ,0,1231,+",68.6," ,0,1023, ",41.1,"0,0707, ",,,0,"0,1029",,,,,,,,,-1.1,"0,0403",-2.2,"0,0303",-4.4,"0,0209",-6.7,"0,0208",1767,0,1767,0,,,,,986.5," ,0",0," ,0",15.43,0,22.69,0,8.17,0,,
USC00049621,1990,40.6116,-122.528,394.7,"WHISKEYTOWN RESERVOIR, CA US",846.3,,846.3,0,68,0,43,0,12,0,0,,0,0,0,0,47,0,1,0,220,0,72,0,,,,,-11.7,"0,1222,+",0," ,0,1231,+",0," ,0,1231,+",61.2," ,0,0523, ",44.4,"0,0807, ",,,0,"0,1124",-4.4,"0,1202",-4.4,"0,1202",-7.2,"0,1220",-11.7,"0,1221",0,"0,0315",-2.2,"0,0218",-4.4,"0,0215",,,1557.3,3,1557.3,0,,,,,846.6," ,0",0," ,0",15.97,0,23.23,0,8.7,0,,
