STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF4,FZF4_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,FZF9,FZF9_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HN01,HN01_ATTRIBUTES,HN02,HN02_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,HX01,HX01_ATTRIBUTES,HX02,HX02_ATTRIBUTES,LN01,LN01_ATTRIBUTES,LN02,LN02_ATTRIBUTES,LX01,LX01_ATTRIBUTES,LX02,LX02_ATTRIBUTES,MN01,MN01_ATTRIBUTES,MN02,MN02_ATTRIBUTES,MX01,MX01_ATTRIBUTES,MX02,MX02_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES
USW00024127,1958,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,628.6,,628.6,0,82,0,30,0,1,0,21,,16,0,0,0,131,0,5,0,166,0,69,0,50, ,,,27, ,-14.4,"0,1118, ",229," ,0,1116, ",257," ,0,0423, ",37.1," ,0,0423, ",38.9,"0,0627, ",-0.6,"0,0925",-2.8,"0,1021",-7.8,"0,1115",-7.8,"0,1115",-12.2,"0,1116",0,"0,0429",-2.2,"0,0327",-4.4,"0,0317",-6.7,"0,0309",-10,"0,0123",3103.7,7,,,,,3103.7,0,,,,,,,,,,,,,,,,,,,,,273.6," ,0",,,1565," ,0",11.97,0,19.16,0,4.77,0,,,,,,,315,X,,,,,,,22.1,X,,
USW00024127,1959,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,556.2,,556.2,0,83,0,39,0,1,0,31,,13,0,1,0,144,0,10,0,140,0,61,0,15, ,,,33, ,-18.3,"0,0104, ",203," ,0,0209, ",216," ,0,0208, ",27.2," ,0,0418, ",38.3,"0,0723, ",-0.6,"0,1002",-2.2,"0,1026",-4.4,"0,1031",-7.8,"0,1105",-10,"0,1113",-1.1,"0,0421",-2.2,"0,0416",-5.6,"0,0410",-6.7,"0,0305",-11.7,"0,0214",2978.5,5,,,,,2978.5,0,,,,,,,,,,,,,,,,,,,,,351.7," ,0",,,1012," ,0",10.92,0,18.03,0,3.8,0,,,,,,,270,X,,,,,,,26.2,X,,
USW00024127,1960,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,643.7,,643.7,0,85,0,35,0,1,0,59,,15,0,4,0,136,0,24,0,170,0,69,0,54, ,,,32, ,-20,"0,0229, ",229," ,0,0102, ",135," ,0,0213, ",26.4," ,0,0822, ",41.7,"0,0726, ",0,"0,1014",-2.2,"0,1016",-5,"0,1029",-7.8,"0,1030",-9.4,"0,1205",-0.6,"0,0519",-4.4,"0,0417",-4.4,"0,0417",-9.4,"0,0316",-9.4,"0,0316",3464.5,5,,,,,3464.5,0,,,,,,,,,,,,,,,,,,,,,314.6," ,0",,,1380," ,0",11.03,0,18.22,0,3.83,0,,,,,,,180,X,,,,,,,30.8,X,,
USW00024127,1961,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,713.5,,713.5,0,84,0,31,0,0,0,33,,16,0,2,0,138,0,13,0,155,0,82,0,39, ,,,30, ,-23.3,"0,1210, ",152," ,0,0219, ",188," ,0,0218, ",19.1," ,0,1028, ",40,"0,0621, ",0,"0,0924",-2.2,"0,1023",-5,"0,1029",-6.7,"0,1105",-9.4,"0,1118",-0.6,"0,0506",-2.2,"0,0505",-4.4,"0,0406",-11.1,"0,0226",-11.1,"0,0226",3063.3,3,,,,,3063.3,0,,,,,,,,,,,,,,,,,,,,,299.2," ,0",,,1263," ,0",11.22,0,18.37,0,4.06,0,,,,,,,270,X,,,,,,,31.4,X,,
USW00024127,1962,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,517,,517,0,78,0,35,0,1,0,50,,19,0,7,0,133,0,47,0,155,0,56,0,55, ,,,34, ,-25.6,"0,0123, ",229," ,0,0121, ",246," ,0,0120, ",57.9," ,0,0713, ",38.3,"0,0815, ",-0.6,"0,1016",-2.8,"0,1106",-4.4,"0,1107",-7.8,"0,1123",-11.7,"0,1224",-2.2,"0,0430",-2.2,"0,0430",-6.1,"0,0316",-9.4,"0,0315",-9.4,"0,0315",3690.4,4,,,,,3690.4,0,,,,,,,,,,,,,,,,,,,,,378.6," ,0",,,1421," ,0",10.3,0,17.45,0,3.15,0,,,,,,,180,X,,,,,,,27.8,X,,
USW00024127,1963,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,550.3,,550.3,0,78,0,43,0,0,0,49,,18,0,7,0,145,0,35,0,167,0,57,0,56, ,,,33, ,-27.8,"0,0112, ",152," ,0,0316, ",201," ,0,0315, ",23.4," ,0,0315, ",38.9,"0,0724, ",-0.6,"0,1027",-3.3,"0,1116",-4.4,"0,1117",-6.7,"0,1118",-12.8,"0,1210",-1.1,"0,0424",-2.2,"0,0423",-12.2,"0,0316",-12.2,"0,0316",-12.2,"0,0316",3363.8,8,,,,,3363.8,0,,,,,,,,,,,,,,,,,,,,,358.3," ,0",,,1494," ,0",10.48,0,17.47,0,3.48,0,,,,,,,315,X,,,,,,,42.1,X,,
USW00024127,1964,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,432.3,,432.3,0,97,0,43,0,1,0,84,,26,0,5,0,158,0,36,0,147,0,54,0,46, ,,,39, ,-23.3,"0,0113, ",178," ,0,0323,+",292," ,0,0322, ",27.9," ,0,1223, ",38.3,"0,0718, ",-0.6,"0,0919",-5,"0,1017",-5,"0,1017",-7.2,"0,1115",-10.6,"0,1117",0,"0,0505",-2.2,"0,0503",-8.3,"0,0325",-8.3,"0,0325",-11.7,"0,0314",3799.3,3,,,,,3799.3,0,,,,,,,,,,,,,,,,,,,,,454.8," ,0",,,2020," ,0",9.03,0,16.14,0,1.92,0,,,,,,,315,X,,,,,,,29.3,X,,
USW00024127,1965,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,330.5,,330.5,0,97,0,50,0,3,0,38,,16,0,0,0,133,0,24,0,160,0,31,0,38, ,16, ,34, ,-16.1,"0,0122, ",102," ,0,0125, ",135," ,0,0505, ",35.1," ,0,0423, ",36.7,"0,0728,+",-0.6,"0,0917",-2.8,"0,0918",-5.6,"0,1128",-6.7,"0,1129",-8.9,"0,1130",-2.8,"0,0507",-2.8,"0,0507",-10,"0,0325",-10,"0,0325",-10,"0,0325",3329,0,,,,,3329,0,,,,,,,,,,,,,,,,,,,,,468.9," ,0",66.9,X,1311," ,0",10.25,0,17.15,0,3.34,0,184716,X,,,,,225,X,225,X,,,,,26.2,X,16.5,X
USW00024127,1966,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,626,,626,0,66,0,26,0,0,0,40,,19,0,1,0,142,0,30,0,170,0,74,0,45, ,7, ,33, ,-19.4,"0,0213, ",229," ,0,0302, ",208," ,0,0302, ",21.3," ,0,1013, ",38.9,"0,0719, ",-0.6,"0,1010",-2.2,"0,1014",-4.4,"0,1022",-8.3,"0,1124",-8.9,"0,1125",-1.1,"0,0523",-2.2,"0,0428",-5,"0,0404",-8.3,"0,0322",-12.2,"0,0306",3153.3,3,,,,,3153.3,0,,,,,,,,,,,,,,,,,,,,,229," ,0",74.2,X,1517," ,0",11.25,0,18.69,0,3.81,0,204774,X,,,,,180,X,,,,,,,24.2,X,,
USW00024127,1967,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,,575,,575,0,99,0,50,0,0,0,61,,24,0,0,0,143,0,23,0,154,0,68,0,27, ,7, ,49, ,-16.7,"0,0111, ",279," ,0,0107, ",216," ,0,1216, ",23.9," ,0,0716, ",38.3,"0,0721, ",-1.7,"0,1015",-2.2,"0,1024",-4.4,"0,1102",-7.2,"0,1126",-8.9,"0,1127",-1.1,"0,0513",-2.2,"0,0502",-7.2,"0,0330",-7.2,"0,0330",-9.4,"0,0125",3198.9,9,,,,,3198.9,0,,,,,,,,,,,,,,,,,,,,,420.5," ,0",65.5,X,2294," ,0",11.01,0,18.17,0,3.85,0,180750,X,,,,,315,X,225,X,,,,,31.9,X,21,X
