STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF4,FZF4_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,FZF9,FZF9_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES
USW00023169,1958,36.0719,-115.1634,664.5,"MCCARRAN INTERNATIONAL AIRPORT, NV US",,,1810.1,,1810.1,0,29,0,14,0,0,0,0,,1,0,0,0,32,0,0,0,228,0,157,0,3, ,,,18, ,-5,"0,1118, ",0,"T,0,1116, ",25," ,0,1116, ",16.8," ,0,1111, ",45.6,"0,0712, ",-0.6,"0,1116",-2.2,"0,1117",-5,"0,1118",,,,,0,"0,0312",-3.3,"0,0123",-4.4,"0,0121",,,,,1470.3,3,1470.3,0,115.4," ,0",,,25," ,0",19.58,0,27.13,0,12.03,0,,,,,,,,,,,,,,,,,,,,,,
USW00023169,1959,36.0719,-115.1634,664.5,"MCCARRAN INTERNATIONAL AIRPORT, NV US",,,1741.3,,1741.3,0,21,0,11,0,0,0,0,,0,0,0,0,32,0,0,0,248,0,137,0,2, ,,,17, ,-6.7,"0,0104, ",0," ,0,1231,+",0,"T,0,1231,+",22.4," ,0,1102, ",46.7,"0,0711, ",-1.7,"0,1127",,,,,,,,,0,"0,0223",-2.2,"0,0214",-5,"0,0105",-6.7,"0,0104",,,1247.5,5,1247.5,0,106.1," ,0",,,0,"T,0",19.55,0,27.32,0,11.78,0,,,,,,,,,,,,,,,,,,,,,,
USW00023169,1960,36.0719,-115.1634,664.5,"MCCARRAN INTERNATIONAL AIRPORT, NV US",,,1777.9,,1777.9,0,21,0,10,0,0,0,0,,0,0,0,0,38,0,0,0,233,0,144,0,6, ,,,10, ,-6.7,"0,0102, ",0," ,0,1231,+",10," ,0,0115, ",24.4," ,0,1106, ",45,"0,0717,+",0,"0,1128",,,,,,,,,-3.3,"0,0225",-3.3,"0,0225",-5.6,"0,0117",-6.7,"0,0102",,,1394.2,2,1394.2,0,111.9," ,0",,,10," ,0",19.17,0,26.49,0,11.85,0,,,,,,,,,,,,,,,,,,,,,,
USW00023169,1961,36.0719,-115.1634,664.5,"MCCARRAN INTERNATIONAL AIRPORT, NV US",,,1618,,1618,0,27,0,11,0,0,0,0,,0,0,0,0,39,0,0,0,227,0,126,0,2, ,,,22, ,-6.1,"0,1213,+",0," ,0,1231,+",0,"T,0,1215,+",10.7," ,0,0829,+",45,"0,0710,+",-2.2,"0,1118",-2.2,"0,1118",-4.4,"0,1211",,,,,-0.6,"0,0228",-2.2,"0,0109",-4.4,"0,0102",,,,,1347.9,9,1347.9,0,80.5," ,0",,,0,"T,0",18.71,0,26.2,0,11.21,0,,,,,,,,,,,,,,,,,,,,,,
USW00023169,1962,36.0719,-115.1634,664.5,"MCCARRAN INTERNATIONAL AIRPORT, NV US",,,1682.8,,1682.8,0,16,0,6,0,0,0,0,,0,0,0,0,38,0,0,0,236,0,137,0,1, ,,,7, ,-8.3,"0,0112,+",0," ,0,1231,+",0,"T,0,0309,+",11.4," ,0,1018, ",44.4,"0,0813, ",-0.6,"0,1213",-5.6,"0,1225",-5.6,"0,1225",-6.7,"0,1226",,,-3.3,"0,0315",-3.3,"0,0315",-5,"0,0301",-7.2,"0,0228",,,1567.3,3,1567.3,0,37," ,0",,,0,"T,0",19.25,0,26.8,0,11.69,0,,,,,,,,,,,,,,,,,,,,,,
USW00023169,1963,36.0719,-115.1634,664.5,"MCCARRAN INTERNATIONAL AIRPORT, NV US",,,1615.8,,1615.8,0,26,0,13,0,1,0,0,,0,0,0,0,41,0,2,0,242,0,132,0,1, ,,,16, ,-13.3,"0,0113, ",0," ,0,1231,+",0,"T,0,0315, ",27.2," ,0,0904, ",43.3,"0,0723,+",0,"0,1205",-4.4,"0,1212",-4.4,"0,1212",,,,,0,"0,0318",-2.2,"0,0305",-4.4,"0,0127",-7.8,"0,0120",-10,"0,0114",1347.7,7,1347.7,0,98.3," ,0",,,0,"T,0",18.9,0,26.23,0,11.56,0,,,,,,,,,,,,,,,,,,,,,,
USW00023169,1964,36.0719,-115.1634,664.5,"MCCARRAN INTERNATIONAL AIRPORT, NV US",,,1620.2,,1620.2,0,16,0,3,0,0,0,1,,2,0,0,0,67,0,0,0,217,0,143,0,,,,,10, ,-6.7,"0,0109, ",76," ,0,1116, ",76," ,0,1115, ",13.2," ,0,1115, ",43.3,"0,0729,+",-1.1,"0,1114",-3.9,"0,1213",-5.6,"0,1214",,,,,-0.6,"0,0325",-2.8,"0,0309",-5,"0,0215",-6.7,"0,0109",,,1583.7,7,1583.7,0,28.8," ,0",,,101," ,0",18.2,0,25.66,0,10.74,0,,,,,,,,,,,,,,,,,,,,,,
USW00023169,1965,36.0719,-115.1634,664.5,"MCCARRAN INTERNATIONAL AIRPORT, NV US",,,1449.6,,1449.6,0,37,0,19,0,1,0,0,,0,0,0,0,32,0,0,0,226,0,126,0,7, ,2, ,19, ,-5.6,"0,0212, ",0," ,0,1231,+",0,"T,0,0107, ",27.7," ,0,1122, ",42.8,"0,0807,+",0,"0,1129",-2.2,"0,1219",,,,,,,0,"0,0306",-2.2,"0,0216",-5.6,"0,0212",,,,,1504.1,1,1504.1,0,202.5," ,0",81.1,X,0,"T,0",18.35,0,25.4,0,11.31,0,218460,X,,,,,,,,,315,X,,,,,,,,,24.1,X
USW00023169,1966,36.0719,-115.1634,664.5,"MCCARRAN INTERNATIONAL AIRPORT, NV US",,,1740.3,,1740.3,0,18,0,6,0,0,0,0,,0,0,0,0,44,0,0,0,244,0,145,0,1, ,,,14, ,-5,"0,1231,+",0," ,0,1231,+",0,"T,0,1230,+",10.9," ,0,1206, ",43.9,"0,0808,+",0,"0,1127",-2.8,"0,1224",-5,"0,1228",,,,,-1.1,"0,0305",-3.9,"0,0304",-4.4,"0,0123",,,,,1363.8,8,1363.8,0,48.7," ,0",85.7,X,0,"T,0",19.3,0,26.81,0,11.79,0,230604,X,,,,,,,,,225,X,,,,,,,,,23.2,X
USW00023169,1967,36.0719,-115.1634,664.5,"MCCARRAN INTERNATIONAL AIRPORT, NV US",,,1627.5,,1627.5,0,32,0,13,0,1,0,1,,1,0,0,0,40,0,0,0,234,0,127,0,1, ,1, ,21, ,-5,"0,1221, ",51," ,0,1215, ",51," ,0,1215, ",26.7," ,0,1121, ",45.6,"0,0703, ",-1.1,"0,1202",-2.8,"0,1213",-5,"0,1221",,,,,0,"0,0412",-2.2,"0,0119",,,,,,,1353.6,6,1353.6,0,141.2," ,0",86.2,X,51," ,0",18.92,0,26.09,0,11.75,0,230922,X,,,,,,,,,315,X,,,,,,,,,21.5,X
